window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 60 draws,2026-06-16,Most-common-zone only,1200,0,2,False,False,False
Last 60 draws,2026-06-16,Pure random,1200,1,1,False,False,False
Last 150 draws,2025-01-10,Era 3 diversified random,800,3,1,True,True,False
Last 150 draws,2025-01-10,Pat-alyzer v2 scored,800,1,1,False,False,False
Last 150 draws,2025-01-10,Hybrid-zone only,800,1,2,False,False,False
Last 150 draws,2025-01-10,Most-common-zone only,800,1,1,False,False,False
Last 150 draws,2025-01-10,Pure random,800,1,1,False,False,False
Last 150 draws,2025-01-14,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-01-14,Pat-alyzer v2 scored,800,2,1,True,False,False
Last 150 draws,2025-01-14,Hybrid-zone only,800,1,2,False,False,False
Last 150 draws,2025-01-14,Most-common-zone only,800,1,1,False,False,False
Last 150 draws,2025-01-14,Pure random,800,2,1,True,False,True
Last 150 draws,2025-01-17,Era 3 diversified random,800,2,0,True,False,False
Last 150 draws,2025-01-17,Pat-alyzer v2 scored,800,1,2,False,False,False
Last 150 draws,2025-01-17,Hybrid-zone only,800,1,1,False,False,False
Last 150 draws,2025-01-17,Most-common-zone only,800,2,1,True,False,False
Last 150 draws,2025-01-17,Pure random,800,1,1,False,False,False
Last 150 draws,2025-01-21,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-01-21,Pat-alyzer v2 scored,800,0,1,False,False,False
Last 150 draws,2025-01-21,Hybrid-zone only,800,0,1,False,False,False
Last 150 draws,2025-01-21,Most-common-zone only,800,0,0,False,False,False
Last 150 draws,2025-01-21,Pure random,800,2,1,True,False,False
Last 150 draws,2025-01-24,Era 3 diversified random,800,2,1,True,False,False
Last 150 draws,2025-01-24,Pat-alyzer v2 scored,800,4,1,True,True,True
Last 150 draws,2025-01-24,Hybrid-zone only,800,3,1,True,True,True
Last 150 draws,2025-01-24,Most-common-zone only,800,3,1,True,True,True
Last 150 draws,2025-01-24,Pure random,800,1,1,False,False,False
Last 150 draws,2025-01-28,Era 3 diversified random,800,2,1,True,False,True
Last 150 draws,2025-01-28,Pat-alyzer v2 scored,800,1,1,False,False,False
Last 150 draws,2025-01-28,Hybrid-zone only,800,1,2,False,False,False
Last 150 draws,2025-01-28,Most-common-zone only,800,1,1,False,False,False
Last 150 draws,2025-01-28,Pure random,800,2,1,True,False,False
Last 150 draws,2025-01-31,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-01-31,Pat-alyzer v2 scored,800,1,1,False,False,False
Last 150 draws,2025-01-31,Hybrid-zone only,800,0,1,False,False,False
Last 150 draws,2025-01-31,Most-common-zone only,800,0,1,False,False,False
Last 150 draws,2025-01-31,Pure random,800,1,1,False,False,False
Last 150 draws,2025-02-04,Era 3 diversified random,800,3,1,True,True,True
Last 150 draws,2025-02-04,Pat-alyzer v2 scored,800,1,1,False,False,False
Last 150 draws,2025-02-04,Hybrid-zone only,800,2,1,True,False,True
Last 150 draws,2025-02-04,Most-common-zone only,800,3,1,True,True,False
